mode,a,b,op,true_result,pred_result,correct,sign_correct,thousands_correct,hundreds_correct,tens_correct,units_correct,has_carry_or_borrow,n_carries_or_borrows,operand_length
forward,382,683,+,1065,1065,True,True,True,True,True,True,True,2,3
forward,234,91,-,143,143,True,True,True,True,True,True,True,1,3
forward,860,724,-,136,136,True,True,True,True,True,True,True,1,3
forward,754,797,+,1551,1551,True,True,True,True,True,True,True,3,3
forward,426,758,-,-332,-332,True,True,True,True,True,True,True,2,3
forward,521,884,+,1405,1405,True,True,True,True,True,True,True,2,3
forward,277,590,+,867,867,True,True,True,True,True,True,True,1,3
forward,160,411,-,-251,-251,True,True,True,True,True,True,True,1,3
forward,738,835,-,-97,-97,True,True,True,True,True,True,False,0,3
forward,749,38,-,711,711,True,True,True,True,True,True,False,0,3
forward,345,450,+,795,795,True,True,True,True,True,True,False,0,3
forward,988,455,+,1443,1443,True,True,True,True,True,True,True,3,3
forward,50,955,+,1005,1005,True,True,True,True,True,True,True,2,3
forward,247,802,+,1049,1049,True,True,True,True,True,True,True,1,3
forward,746,63,+,809,809,True,True,True,True,True,True,True,1,3
forward,250,756,+,1006,1006,True,True,True,True,True,True,True,2,3
forward,159,750,-,-591,-591,True,True,True,True,True,True,False,0,3
forward,732,186,-,546,546,True,True,True,True,True,True,True,2,3
forward,677,307,+,984,984,True,True,True,True,True,True,True,1,3
forward,415,851,-,-436,-436,True,True,True,True,True,True,True,1,3
forward,799,746,-,53,53,True,True,True,True,True,True,False,0,3
forward,841,38,-,803,803,True,True,True,True,True,True,True,1,3
forward,223,4,+,227,227,True,True,True,True,True,True,False,0,3
forward,152,338,-,-186,-186,True,True,True,True,True,True,True,1,3
forward,120,451,-,-331,-331,True,True,True,True,True,True,True,2,3
forward,821,540,-,281,281,True,True,True,True,True,True,True,1,3
forward,793,25,-,768,768,True,True,True,True,True,True,True,1,3
forward,807,357,+,1164,1164,True,True,True,True,True,True,True,2,3
forward,235,191,-,44,44,True,True,True,True,True,True,True,1,3
forward,113,12,-,101,101,True,True,True,True,True,True,False,0,3
forward,333,769,+,1102,1102,True,True,True,True,True,True,True,3,3
forward,686,842,+,1528,1528,True,True,True,True,True,True,True,2,3
forward,532,702,-,-170,-170,True,True,True,True,True,True,False,0,3
forward,636,626,-,10,10,True,True,True,True,True,True,False,0,3
forward,791,484,+,1275,1275,True,True,True,True,True,True,True,2,3
forward,515,157,+,672,672,True,True,True,True,True,True,True,1,3
forward,932,827,+,1759,1759,True,True,True,True,True,True,True,1,3
forward,996,799,-,197,197,True,True,True,True,True,True,True,2,3
forward,775,959,+,1734,1734,True,True,True,True,True,True,True,3,3
forward,239,608,-,-369,-369,True,True,True,True,True,True,False,0,3
forward,850,429,-,421,421,True,True,True,True,True,True,True,1,3
forward,339,967,-,-628,-628,True,True,True,True,True,True,True,1,3
forward,817,845,+,1662,1662,True,True,True,True,True,True,True,2,3
forward,937,347,-,590,590,True,True,True,True,True,True,True,1,3
forward,812,786,-,26,26,True,True,True,True,True,True,True,1,3
forward,485,123,+,608,608,True,True,True,True,True,True,True,1,3
forward,880,973,+,1853,1853,True,True,True,True,True,True,True,2,3
forward,214,628,-,-414,-414,True,True,True,True,True,True,True,2,3
forward,455,727,+,1182,1182,True,True,True,True,True,True,True,2,3
forward,671,800,-,-129,-129,True,True,True,True,True,True,False,0,3
forward,423,19,+,442,442,True,True,True,True,True,True,True,1,3
forward,312,115,+,427,427,True,True,True,True,True,True,False,0,3
forward,183,998,-,-815,-815,True,True,True,True,True,True,True,2,3
forward,373,45,-,328,327,False,True,True,True,True,False,True,1,3
forward,401,875,-,-474,-474,True,True,True,True,True,True,True,2,3
forward,683,721,-,-38,-38,True,True,True,True,True,True,False,0,3
forward,123,958,+,1081,1081,True,True,True,True,True,True,True,2,3
forward,625,326,+,951,951,True,True,True,True,True,True,True,1,3
forward,230,419,+,649,649,True,True,True,True,True,True,False,0,3
forward,756,300,-,456,456,True,True,True,True,True,True,False,0,3
forward,357,930,+,1287,1287,True,True,True,True,True,True,True,1,3
forward,183,747,+,930,930,True,True,True,True,True,True,True,2,3
forward,850,807,-,43,43,True,True,True,True,True,True,False,0,3
forward,566,112,-,454,454,True,True,True,True,True,True,False,0,3
forward,942,918,-,24,24,True,True,True,True,True,True,False,0,3
forward,730,626,-,104,104,True,True,True,True,True,True,True,1,3
forward,206,259,+,465,465,True,True,True,True,True,True,True,1,3
forward,334,240,-,94,94,True,True,True,True,True,True,True,1,3
forward,566,590,+,1156,1156,True,True,True,True,True,True,True,2,3
forward,407,38,+,445,445,True,True,True,True,True,True,True,1,3
forward,938,729,+,1667,1667,True,True,True,True,True,True,True,2,3
forward,110,170,-,-60,-50,False,True,True,True,False,True,True,1,3
forward,469,908,+,1377,1377,True,True,True,True,True,True,True,2,3
forward,813,961,+,1774,1774,True,True,True,True,True,True,True,1,3
forward,151,106,-,45,35,False,True,True,True,False,True,False,0,3
forward,119,689,+,808,808,True,True,True,True,True,True,True,2,3
forward,777,166,+,943,943,True,True,True,True,True,True,True,2,3
forward,362,792,+,1154,1154,True,True,True,True,True,True,True,2,3
forward,304,846,+,1150,1150,True,True,True,True,True,True,True,2,3
forward,750,997,+,1747,1747,True,True,True,True,True,True,True,2,3
forward,45,253,-,-208,-208,True,True,True,True,True,True,True,1,3
forward,24,839,-,-815,-815,True,True,True,True,True,True,True,2,3
forward,437,337,+,774,774,True,True,True,True,True,True,True,1,3
forward,16,900,-,-884,-884,True,True,True,True,True,True,False,0,3
forward,324,697,-,-373,-373,True,True,True,True,True,True,True,2,3
forward,407,29,-,378,378,True,True,True,True,True,True,True,2,3
forward,591,763,+,1354,1354,True,True,True,True,True,True,True,2,3
forward,65,158,-,-93,-93,True,True,True,True,True,True,False,0,3
forward,646,914,-,-268,-268,True,True,True,True,True,True,False,0,3
forward,156,714,-,-558,-558,True,True,True,True,True,True,False,0,3
forward,560,107,-,453,453,True,True,True,True,True,True,True,1,3
forward,730,111,+,841,841,True,True,True,True,True,True,False,0,3
forward,558,310,+,868,868,True,True,True,True,True,True,False,0,3
forward,111,509,+,620,620,True,True,True,True,True,True,True,1,3
forward,394,406,-,-12,-12,True,True,True,True,True,True,False,0,3
forward,186,755,+,941,941,True,True,True,True,True,True,True,2,3
forward,761,710,-,51,51,True,True,True,True,True,True,False,0,3
forward,170,222,+,392,392,True,True,True,True,True,True,False,0,3
forward,315,36,+,351,351,True,True,True,True,True,True,True,1,3
forward,170,605,-,-435,-435,True,True,True,True,True,True,True,1,3
forward,645,376,+,1021,1021,True,True,True,True,True,True,True,3,3
forward,29,484,-,-455,-455,True,True,True,True,True,True,True,1,3
forward,786,984,+,1770,1770,True,True,True,True,True,True,True,3,3
forward,218,604,-,-386,-386,True,True,True,True,True,True,False,0,3
forward,114,706,-,-592,-592,True,True,True,True,True,True,True,1,3
forward,521,413,-,108,108,True,True,True,True,True,True,True,1,3
forward,58,895,-,-837,-837,True,True,True,True,True,True,True,1,3
forward,625,696,-,-71,-71,True,True,True,True,True,True,True,1,3
forward,751,635,+,1386,1386,True,True,True,True,True,True,True,1,3
forward,355,329,+,684,684,True,True,True,True,True,True,True,1,3
forward,735,520,-,215,215,True,True,True,True,True,True,False,0,3
forward,305,336,-,-31,-31,True,True,True,True,True,True,True,1,3
forward,507,787,-,-280,-280,True,True,True,True,True,True,True,1,3
forward,23,75,+,98,98,True,True,True,True,True,True,False,0,2
forward,409,544,+,953,953,True,True,True,True,True,True,True,1,3
forward,255,327,+,582,582,True,True,True,True,True,True,True,1,3
forward,191,115,-,76,76,True,True,True,True,True,True,False,0,3
forward,771,542,-,229,229,True,True,True,True,True,True,True,1,3
forward,690,289,+,979,979,True,True,True,True,True,True,True,1,3
forward,958,503,+,1461,1461,True,True,True,True,True,True,True,2,3
forward,112,618,-,-506,-506,True,True,True,True,True,True,True,2,3
forward,401,413,-,-12,-12,True,True,True,True,True,True,True,1,3
forward,410,191,+,601,601,True,True,True,True,True,True,True,1,3
forward,412,87,-,325,325,True,True,True,True,True,True,True,2,3
forward,381,503,+,884,884,True,True,True,True,True,True,False,0,3
forward,411,446,-,-35,-35,True,True,True,True,True,True,True,1,3
forward,180,531,-,-351,-351,True,True,True,True,True,True,True,1,3
forward,817,187,-,630,630,True,True,True,True,True,True,True,1,3
forward,280,607,-,-327,-327,True,True,True,True,True,True,True,1,3
forward,963,956,+,1919,1919,True,True,True,True,True,True,True,2,3
forward,824,908,-,-84,-84,True,True,True,True,True,True,False,0,3
forward,269,778,-,-509,-509,True,True,True,True,True,True,True,1,3
forward,281,540,+,821,821,True,True,True,True,True,True,True,1,3
forward,813,658,-,155,155,True,True,True,True,True,True,True,2,3
forward,1,645,-,-644,-644,True,True,True,True,True,True,True,2,3
forward,238,439,-,-201,-201,True,True,True,True,True,True,True,2,3
forward,62,913,+,975,975,True,True,True,True,True,True,False,0,3
forward,823,624,+,1447,1447,True,True,True,True,True,True,True,1,3
forward,754,153,+,907,907,True,True,True,True,True,True,True,1,3
forward,769,338,-,431,431,True,True,True,True,True,True,False,0,3
forward,490,119,-,371,371,True,True,True,True,True,True,True,1,3
forward,169,842,+,1011,1011,True,True,True,True,True,True,True,3,3
forward,161,923,-,-762,-762,True,True,True,True,True,True,True,1,3
forward,435,515,+,950,950,True,True,True,True,True,True,True,1,3
forward,572,260,-,312,312,True,True,True,True,True,True,False,0,3
forward,344,74,+,418,418,True,True,True,True,True,True,True,1,3
forward,400,873,+,1273,1273,True,True,True,True,True,True,True,1,3
forward,122,2,-,120,120,True,True,True,True,True,True,False,0,3
forward,192,994,+,1186,1186,True,True,True,True,True,True,True,2,3
forward,845,581,+,1426,1426,True,True,True,True,True,True,True,2,3
forward,416,971,-,-555,-555,True,True,True,True,True,True,True,1,3
forward,998,851,-,147,147,True,True,True,True,True,True,False,0,3
forward,288,777,+,1065,1065,True,True,True,True,True,True,True,3,3
forward,913,238,+,1151,1151,True,True,True,True,True,True,True,2,3
forward,71,260,+,331,331,True,True,True,True,True,True,True,1,3
forward,550,987,+,1537,1537,True,True,True,True,True,True,True,2,3
forward,292,813,+,1105,1105,True,True,True,True,True,True,True,2,3
forward,7,746,-,-739,-739,True,True,True,True,True,True,True,1,3
forward,169,887,+,1056,1056,True,True,True,True,True,True,True,3,3
forward,385,269,+,654,654,True,True,True,True,True,True,True,2,3
forward,948,903,+,1851,1851,True,True,True,True,True,True,True,2,3
forward,711,918,+,1629,1629,True,True,True,True,True,True,True,1,3
forward,83,244,-,-161,-161,True,True,True,True,True,True,True,1,3
forward,245,390,+,635,635,True,True,True,True,True,True,True,1,3
forward,162,980,-,-818,-818,True,True,True,True,True,True,True,1,3
forward,632,106,+,738,738,True,True,True,True,True,True,False,0,3
forward,274,934,+,1208,1208,True,True,True,True,True,True,True,2,3
forward,890,506,+,1396,1396,True,True,True,True,True,True,True,1,3
forward,741,641,+,1382,1382,True,True,True,True,True,True,True,1,3
forward,877,294,-,583,583,True,True,True,True,True,True,True,1,3
forward,176,912,+,1088,1088,True,True,True,True,True,True,True,1,3
forward,669,120,+,789,789,True,True,True,True,True,True,False,0,3
forward,565,431,-,134,134,True,True,True,True,True,True,False,0,3
forward,94,313,-,-219,-219,True,True,True,True,True,True,False,0,3
forward,87,604,-,-517,-517,True,True,True,True,True,True,False,0,3
forward,153,382,+,535,535,True,True,True,True,True,True,True,1,3
forward,199,704,+,903,903,True,True,True,True,True,True,True,2,3
forward,743,56,+,799,799,True,True,True,True,True,True,False,0,3
forward,169,542,-,-373,-373,True,True,True,True,True,True,False,0,3
forward,896,841,-,55,55,True,True,True,True,True,True,False,0,3
forward,361,278,-,83,83,True,True,True,True,True,True,True,1,3
forward,483,412,+,895,895,True,True,True,True,True,True,False,0,3
forward,83,247,-,-164,-164,True,True,True,True,True,True,True,1,3
forward,270,151,-,119,119,True,True,True,True,True,True,True,1,3
forward,835,203,+,1038,1038,True,True,True,True,True,True,True,1,3
forward,760,205,+,965,965,True,True,True,True,True,True,False,0,3
forward,486,519,-,-33,-33,True,True,True,True,True,True,False,0,3
forward,337,61,+,398,398,True,True,True,True,True,True,False,0,3
forward,828,296,+,1124,1124,True,True,True,True,True,True,True,3,3
forward,677,260,+,937,937,True,True,True,True,True,True,True,1,3
forward,253,855,-,-602,-602,True,True,True,True,True,True,True,2,3
forward,51,476,-,-425,-425,True,True,True,True,True,True,True,2,3
forward,730,928,-,-198,-198,True,True,True,True,True,True,True,1,3
forward,846,388,+,1234,1234,True,True,True,True,True,True,True,3,3
forward,604,84,-,520,520,True,True,True,True,True,True,True,1,3
forward,827,689,-,138,137,False,True,True,True,True,False,True,2,3
forward,18,810,+,828,828,True,True,True,True,True,True,False,0,3
forward,495,319,+,814,814,True,True,True,True,True,True,True,2,3
forward,96,617,-,-521,-521,True,True,True,True,True,True,True,1,3
forward,231,785,-,-554,-554,True,True,True,True,True,True,True,2,3
forward,761,141,-,620,620,True,True,True,True,True,True,False,0,3
forward,578,221,-,357,357,True,True,True,True,True,True,False,0,3
forward,691,994,+,1685,1685,True,True,True,True,True,True,True,2,3
forward,263,71,-,192,192,True,True,True,True,True,True,True,1,3
forward,544,131,-,413,413,True,True,True,True,True,True,False,0,3
forward,86,147,-,-61,-61,True,True,True,True,True,True,False,0,3
forward,796,748,+,1544,1544,True,True,True,True,True,True,True,3,3
forward,922,699,+,1621,1621,True,True,True,True,True,True,True,3,3
forward,997,393,+,1390,1390,True,True,True,True,True,True,True,3,3
forward,817,66,-,751,751,True,True,True,True,True,True,True,1,3
forward,993,788,+,1781,1781,True,True,True,True,True,True,True,3,3
forward,527,184,+,711,711,True,True,True,True,True,True,True,2,3
forward,693,517,+,1210,1210,True,True,True,True,True,True,True,3,3
forward,151,666,+,817,817,True,True,True,True,True,True,True,1,3
forward,708,561,-,147,147,True,True,True,True,True,True,True,1,3
forward,262,968,-,-706,-706,True,True,True,True,True,True,True,2,3
forward,615,93,-,522,522,True,True,True,True,True,True,True,1,3
forward,282,595,+,877,877,True,True,True,True,True,True,True,1,3
forward,20,754,+,774,774,True,True,True,True,True,True,False,0,3
forward,797,696,+,1493,1493,True,True,True,True,True,True,True,3,3
forward,428,387,+,815,815,True,True,True,True,True,True,True,2,3
forward,713,463,+,1176,1176,True,True,True,True,True,True,True,1,3
forward,810,214,-,596,696,False,True,True,False,True,True,True,2,3
forward,570,561,+,1131,1131,True,True,True,True,True,True,True,2,3
forward,248,432,-,-184,-184,True,True,True,True,True,True,False,0,3
forward,969,159,+,1128,1128,True,True,True,True,True,True,True,3,3
forward,339,48,-,291,291,True,True,True,True,True,True,True,1,3
forward,727,979,-,-252,-252,True,True,True,True,True,True,True,2,3
forward,795,103,+,898,898,True,True,True,True,True,True,False,0,3
forward,164,486,+,650,650,True,True,True,True,True,True,True,2,3
forward,599,949,-,-350,-350,True,True,True,True,True,True,False,0,3
forward,219,728,-,-509,-509,True,True,True,True,True,True,True,1,3
forward,49,13,-,36,36,True,True,True,True,True,True,False,0,2
forward,388,650,-,-262,-262,True,True,True,True,True,True,False,0,3
forward,512,93,-,419,419,True,True,True,True,True,True,True,2,3
forward,225,743,+,968,968,True,True,True,True,True,True,False,0,3
forward,765,35,+,800,800,True,True,True,True,True,True,True,2,3
forward,257,765,+,1022,1022,True,True,True,True,True,True,True,3,3
forward,781,337,-,444,444,True,True,True,True,True,True,True,1,3
forward,353,337,+,690,690,True,True,True,True,True,True,True,1,3
forward,521,763,+,1284,1284,True,True,True,True,True,True,True,1,3
forward,772,958,+,1730,1730,True,True,True,True,True,True,True,3,3
forward,646,642,-,4,3,False,True,True,True,True,False,False,0,3
forward,556,259,-,297,297,True,True,True,True,True,True,True,2,3
forward,978,723,+,1701,1701,True,True,True,True,True,True,True,3,3
forward,283,105,+,388,388,True,True,True,True,True,True,False,0,3
forward,589,421,+,1010,1010,True,True,True,True,True,True,True,3,3
forward,513,633,-,-120,-120,True,True,True,True,True,True,True,1,3
forward,171,972,+,1143,1143,True,True,True,True,True,True,True,2,3
forward,432,262,-,170,170,True,True,True,True,True,True,True,1,3
forward,141,723,+,864,864,True,True,True,True,True,True,False,0,3
forward,39,300,+,339,339,True,True,True,True,True,True,False,0,3
forward,320,280,+,600,600,True,True,True,True,True,True,True,1,3
forward,535,391,+,926,926,True,True,True,True,True,True,True,1,3
forward,846,568,-,278,278,True,True,True,True,True,True,True,2,3
forward,661,705,+,1366,1366,True,True,True,True,True,True,True,1,3
forward,978,203,+,1181,1181,True,True,True,True,True,True,True,2,3
forward,830,259,+,1089,1089,True,True,True,True,True,True,True,1,3
forward,541,753,+,1294,1294,True,True,True,True,True,True,True,1,3
forward,580,851,+,1431,1431,True,True,True,True,True,True,True,2,3
forward,505,108,-,397,397,True,True,True,True,True,True,True,2,3
forward,661,452,+,1113,1113,True,True,True,True,True,True,True,2,3
forward,353,126,+,479,479,True,True,True,True,True,True,False,0,3
forward,868,441,+,1309,1309,True,True,True,True,True,True,True,2,3
forward,283,489,+,772,772,True,True,True,True,True,True,True,2,3
forward,788,705,-,83,83,True,True,True,True,True,True,False,0,3
forward,991,269,+,1260,1260,True,True,True,True,True,True,True,3,3
forward,477,252,+,729,729,True,True,True,True,True,True,True,1,3
forward,233,115,-,118,118,True,True,True,True,True,True,True,1,3
forward,385,803,+,1188,1188,True,True,True,True,True,True,True,1,3
forward,18,475,+,493,493,True,True,True,True,True,True,True,1,3
forward,910,623,+,1533,1533,True,True,True,True,True,True,True,1,3
forward,146,268,+,414,414,True,True,True,True,True,True,True,2,3
forward,510,508,+,1018,1018,True,True,True,True,True,True,True,1,3
forward,142,864,-,-722,-722,True,True,True,True,True,True,True,2,3
forward,581,428,-,153,153,True,True,True,True,True,True,True,1,3
forward,541,938,-,-397,-397,True,True,True,True,True,True,True,1,3
forward,383,447,+,830,830,True,True,True,True,True,True,True,2,3
forward,231,330,+,561,561,True,True,True,True,True,True,False,0,3
forward,312,253,-,59,59,True,True,True,True,True,True,True,1,3
forward,96,677,-,-581,-581,True,True,True,True,True,True,True,1,3
forward,628,545,+,1173,1173,True,True,True,True,True,True,True,2,3
forward,642,360,+,1002,1002,True,True,True,True,True,True,True,2,3
forward,889,530,-,359,359,True,True,True,True,True,True,False,0,3
forward,518,522,-,-4,-3,False,True,True,True,True,False,False,0,3
forward,220,589,+,809,809,True,True,True,True,True,True,True,1,3
forward,444,500,-,-56,-56,True,True,True,True,True,True,False,0,3
forward,983,770,+,1753,1753,True,True,True,True,True,True,True,2,3
forward,255,538,+,793,793,True,True,True,True,True,True,True,1,3
forward,267,770,+,1037,1037,True,True,True,True,True,True,True,2,3
forward,378,431,+,809,809,True,True,True,True,True,True,True,1,3
forward,319,372,+,691,691,True,True,True,True,True,True,True,1,3
forward,205,113,+,318,318,True,True,True,True,True,True,False,0,3
forward,756,580,+,1336,1336,True,True,True,True,True,True,True,2,3
forward,135,484,+,619,619,True,True,True,True,True,True,True,1,3
forward,991,589,+,1580,1580,True,True,True,True,True,True,True,3,3
forward,808,807,-,1,3,False,True,True,True,True,False,False,0,3
forward,288,809,+,1097,1097,True,True,True,True,True,True,True,2,3
forward,549,197,-,352,352,True,True,True,True,True,True,True,1,3
forward,399,82,+,481,481,True,True,True,True,True,True,True,2,3
forward,605,662,-,-57,-57,True,True,True,True,True,True,True,1,3
forward,211,12,-,199,199,True,True,True,True,True,True,True,2,3
forward,245,515,+,760,760,True,True,True,True,True,True,True,1,3
forward,563,255,+,818,818,True,True,True,True,True,True,True,1,3
forward,443,323,+,766,766,True,True,True,True,True,True,False,0,3
forward,184,722,-,-538,-538,True,True,True,True,True,True,False,0,3
forward,413,558,-,-145,-145,True,True,True,True,True,True,True,2,3
forward,41,481,-,-440,-440,True,True,True,True,True,True,True,1,3
forward,38,627,+,665,665,True,True,True,True,True,True,True,1,3
forward,170,427,+,597,597,True,True,True,True,True,True,False,0,3
forward,25,518,-,-493,-493,True,True,True,True,True,True,True,1,3
forward,25,959,+,984,984,True,True,True,True,True,True,True,1,3
forward,219,23,-,196,196,True,True,True,True,True,True,True,1,3
forward,303,512,-,-209,-209,True,True,True,True,True,True,True,1,3
forward,126,426,-,-300,-300,True,True,True,True,True,True,False,0,3
forward,483,22,-,461,461,True,True,True,True,True,True,False,0,3
forward,420,950,+,1370,1370,True,True,True,True,True,True,True,1,3
forward,884,258,+,1142,1142,True,True,True,True,True,True,True,3,3
forward,509,186,-,323,323,True,True,True,True,True,True,True,1,3
forward,544,783,-,-239,-239,True,True,True,True,True,True,True,1,3
forward,684,20,-,664,664,True,True,True,True,True,True,False,0,3
forward,285,675,+,960,960,True,True,True,True,True,True,True,2,3
forward,399,326,-,73,73,True,True,True,True,True,True,False,0,3
forward,834,110,+,944,944,True,True,True,True,True,True,False,0,3
forward,651,186,+,837,837,True,True,True,True,True,True,True,1,3
forward,472,596,-,-124,-124,True,True,True,True,True,True,True,2,3
forward,792,37,+,829,829,True,True,True,True,True,True,True,1,3
forward,433,464,-,-31,-31,True,True,True,True,True,True,True,1,3
forward,547,182,-,365,365,True,True,True,True,True,True,True,1,3
forward,754,714,-,40,30,False,True,True,True,False,True,False,0,3
forward,82,931,+,1013,1013,True,True,True,True,True,True,True,2,3
forward,470,394,-,76,76,True,True,True,True,True,True,True,1,3
forward,979,969,+,1948,1948,True,True,True,True,True,True,True,3,3
forward,655,988,-,-333,-333,True,True,True,True,True,True,True,2,3
forward,892,783,-,109,109,True,True,True,True,True,True,True,1,3
forward,671,192,-,479,489,False,True,True,True,False,True,True,2,3
forward,863,167,-,696,696,True,True,True,True,True,True,True,2,3
forward,532,340,-,192,192,True,True,True,True,True,True,True,1,3
forward,674,58,-,616,616,True,True,True,True,True,True,True,1,3
forward,32,987,+,1019,1019,True,True,True,True,True,True,True,2,3
forward,351,670,-,-319,-319,True,True,True,True,True,True,True,1,3
forward,583,706,+,1289,1289,True,True,True,True,True,True,True,1,3
forward,233,580,+,813,813,True,True,True,True,True,True,True,1,3
forward,308,304,-,4,3,False,True,True,True,True,False,False,0,3
forward,162,74,+,236,236,True,True,True,True,True,True,True,1,3
forward,189,782,-,-593,-593,True,True,True,True,True,True,False,0,3
forward,361,21,+,382,382,True,True,True,True,True,True,False,0,3
forward,326,811,+,1137,1137,True,True,True,True,True,True,True,1,3
forward,615,843,-,-228,-228,True,True,True,True,True,True,True,1,3
forward,317,116,-,201,201,True,True,True,True,True,True,False,0,3
forward,627,174,+,801,801,True,True,True,True,True,True,True,2,3
forward,519,898,-,-379,-379,True,True,True,True,True,True,True,1,3
forward,345,543,-,-198,-198,True,True,True,True,True,True,False,0,3
forward,439,913,-,-474,-474,True,True,True,True,True,True,False,0,3
forward,590,549,+,1139,1139,True,True,True,True,True,True,True,2,3
forward,920,39,+,959,959,True,True,True,True,True,True,False,0,3
forward,224,361,+,585,585,True,True,True,True,True,True,False,0,3
forward,663,372,-,291,291,True,True,True,True,True,True,True,1,3
forward,980,37,+,1017,1018,False,True,True,True,True,False,True,2,3
forward,601,555,+,1156,1156,True,True,True,True,True,True,True,1,3
forward,663,427,+,1090,1090,True,True,True,True,True,True,True,2,3
forward,528,877,-,-349,-349,True,True,True,True,True,True,True,1,3
forward,858,911,-,-53,-53,True,True,True,True,True,True,False,0,3
forward,332,379,+,711,710,False,True,True,True,True,False,True,2,3
forward,501,769,+,1270,1270,True,True,True,True,True,True,True,2,3
forward,381,67,-,314,314,True,True,True,True,True,True,True,1,3
forward,144,331,-,-187,-187,True,True,True,True,True,True,False,0,3
forward,147,850,+,997,997,True,True,True,True,True,True,False,0,3
forward,140,971,+,1111,1111,True,True,True,True,True,True,True,2,3
forward,738,260,+,998,998,True,True,True,True,True,True,False,0,3
forward,957,520,-,437,437,True,True,True,True,True,True,False,0,3
forward,52,587,-,-535,-535,True,True,True,True,True,True,True,2,3
forward,128,606,-,-478,-478,True,True,True,True,True,True,False,0,3
forward,948,980,+,1928,1928,True,True,True,True,True,True,True,2,3
forward,682,396,-,286,286,True,True,True,True,True,True,True,2,3
forward,308,448,+,756,756,True,True,True,True,True,True,True,1,3
forward,259,179,-,80,80,True,True,True,True,True,True,True,1,3
forward,373,247,-,126,126,True,True,True,True,True,True,True,1,3
forward,879,253,+,1132,1132,True,True,True,True,True,True,True,3,3
forward,580,192,-,388,388,True,True,True,True,True,True,True,2,3
